continent,year,medals
AFRICA,1960,6
AFRICA,1964,6
AFRICA,1968,19
AFRICA,1972,20
AFRICA,1980,22
AFRICA,1984,16
AFRICA,1988,14
AFRICA,1992,52
AFRICA,1996,52
AFRICA,2000,57
AFRICA,2004,45
AFRICA,2008,60
AFRICA,2012,37
AFRICA,2016,75
ASIA,1960,63
ASIA,1964,100
ASIA,1968,103
ASIA,1972,108
ASIA,1976,80
ASIA,1980,26
ASIA,1984,182
ASIA,1988,158
ASIA,1992,242
ASIA,1996,259
ASIA,2000,257
ASIA,2004,292
ASIA,2008,378
ASIA,2012,356
ASIA,2016,281
EASTERN EUROPE,1960,354
EASTERN EUROPE,1964,420
EASTERN EUROPE,1968,448
EASTERN EUROPE,1972,498
EASTERN EUROPE,1976,598
EASTERN EUROPE,1980,820
EASTERN EUROPE,1984,190
EASTERN EUROPE,1988,546
EASTERN EUROPE,1992,515
EASTERN EUROPE,1996,448
EASTERN EUROPE,2000,562
EASTERN EUROPE,2004,511
EASTERN EUROPE,2008,455
EASTERN EUROPE,2012,428
EASTERN EUROPE,2016,503
MIDDLE EAST,1960,12
MIDDLE EAST,1964,6
MIDDLE EAST,1968,2
MIDDLE EAST,1972,2
MIDDLE EAST,1980,1
MIDDLE EAST,1984,4
MIDDLE EAST,1988,2
MIDDLE EAST,1992,9
MIDDLE EAST,1996,8
MIDDLE EAST,2000,10
MIDDLE EAST,2004,15
MIDDLE EAST,2008,8
MIDDLE EAST,2012,14
MIDDLE EAST,2016,15
NORTHERN AMERICA,1960,183
NORTHERN AMERICA,1964,190
NORTHERN AMERICA,1968,212
NORTHERN AMERICA,1972,208
NORTHERN AMERICA,1976,204
NORTHERN AMERICA,1980,42
NORTHERN AMERICA,1984,458
NORTHERN AMERICA,1988,245
NORTHERN AMERICA,1992,319
NORTHERN AMERICA,1996,366
NORTHERN AMERICA,2000,362
NORTHERN AMERICA,2004,442
NORTHERN AMERICA,2008,477
NORTHERN AMERICA,2012,514
NORTHERN AMERICA,2016,488
OCEANIA,1960,49
OCEANIA,1964,50
OCEANIA,1968,58
OCEANIA,1972,34
OCEANIA,1976,48
OCEANIA,1980,13
OCEANIA,1984,75
OCEANIA,1988,59
OCEANIA,1992,73
OCEANIA,1996,146
OCEANIA,2000,188
OCEANIA,2004,165
OCEANIA,2008,166
OCEANIA,2012,144
OCEANIA,2016,134
SOUTHERN AMERICA,1960,23
SOUTHERN AMERICA,1964,23
SOUTHERN AMERICA,1968,18
SOUTHERN AMERICA,1972,29
SOUTHERN AMERICA,1976,32
SOUTHERN AMERICA,1980,34
SOUTHERN AMERICA,1984,51
SOUTHERN AMERICA,1988,60
SOUTHERN AMERICA,1992,94
SOUTHERN AMERICA,1996,164
SOUTHERN AMERICA,2000,191
SOUTHERN AMERICA,2004,193
SOUTHERN AMERICA,2008,211
SOUTHERN AMERICA,2012,146
SOUTHERN AMERICA,2016,134
WESTERN EUROPE,1960,350
WESTERN EUROPE,1964,405
WESTERN EUROPE,1968,366
WESTERN EUROPE,1972,497
WESTERN EUROPE,1976,550
WESTERN EUROPE,1980,587
WESTERN EUROPE,1984,633
WESTERN EUROPE,1988,691
WESTERN EUROPE,1992,703
WESTERN EUROPE,1996,729
WESTERN EUROPE,2000,812
WESTERN EUROPE,2004,807
WESTERN EUROPE,2008,815
WESTERN EUROPE,2012,806
WESTERN EUROPE,2016,982
